text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
It's a tradition to watch this once in a while.;28;11;10;47;Positive;2021
"it's hilarious how MatPat got close to a ton of people but couldn't find them.

besides zach.";3576;19;19;93;Positive;2021
Mark's plan was literally so smart, he could've gotten away with it if the worker went in laps around the building instead of staying in one spot.;1988;29;27;146;Negative;2021
Mat pat is terrifying, he can analyse just about everything so deeply;4620;12;12;69;Very Positive;2021
Rewatching this and seeing matpat now hurts;5;7;7;43;Very Positive;2021
"Matpat: First out due to over explaining 
Also Him: misses two people due to over explaining 
Also Also him: The one time over explaining works to his advantage to find a guy, he wins on a technicality";3752;37;25;201;Neutral;2021
Matpat finding people by his intelligence but also getting caught due to it is the most ironic thing i have watched this year.;1396;23;23;126;Positive;2021
Let’s get Mr. Beast to be the biggest YouTuber in the history of the world! This guy is amazing!;2259;20;18;96;Very Positive;2021
You should be proud of yourself ro.;16;7;7;35;Very Positive;2021
The fact that MatPat perfectly found three hiders after being the first one out and failed to get a single one out is amazing to me.;2750;26;22;132;Very Positive;2021
I just love that MatPat got out because he was explaining to the camera why he was hiding where he was. He can’t stop explaining things!;1727;27;21;136;Very Positive;2021
5:45 Imagine if he came back and knocked the door?! , Paul would shat his pants.;3;16;16;80;Very Negative;2021
Crazy to see how much editing was put into this. I just finished listening to Mat talk about the shoot for this, he wasn't even found until about 2 hours in after Jimmy told them to move spots;842;39;35;192;Very Negative;2021
MatPat coming so close and missing the hiders everytime is hilarious.;4922;11;11;69;Very Positive;2021
The amount of patience Jimmy demonstrates in these videos has always fascinated me.;218;13;13;83;Very Positive;2021
Who's here after MatPat's final theory? and meets Scott himself? hits different ;3;14;13;80;Neutral;2021
Mark had the best hiding spot! Too bad the NPC employee was glitching and gave him up;5374;17;16;85;Very Negative;2021
The fact that Matpat was overthinking his hiding spot was just legendary he was so confident! I wished he would’ve won but the winner deserves it!;1167;27;23;146;Very Positive;2021
MatPat was absurdly accurate with what he called out;2047;9;9;52;Very Negative;2021
MATPAT IS AMAZING ;3;3;3;18;Very Positive;2021
Aww I thought this was gonna have more episodes, this is amazingly entertaining!;1409;13;12;80;Very Positive;2021
he puts so much efforts in his videos;2195;8;8;37;Very Positive;2021
The fear in ZHC's eyes lmao;5199;7;7;27;Very Positive;2021
You can still see Ro on the map at 9:30;94;11;11;39;Positive;2021
I just love that MatPat got out because he was explaining to the camera why he was hiding where he was. He can't stop explaining things!!!!;1512;27;21;139;Very Positive;2021
Its funny how MatPat just kept being so close to finding people and then just looking in the wrong place and walking away;818;23;21;121;Positive;2021
LETS GO, was definitely rooting for Zach, much deserved;557;9;9;55;Very Positive;2021
5:50 imagine losing 1 million dollars because you sneezed ;1;10;10;58;Very Negative;2021
"out of all people.. Matt is who I least expected to get  caught first ;-;";1826;14;14;73;Very Negative;2021
That $1 million dollar nap man.;4434;6;6;31;Very Negative;2021
Matpat was showing so much intelligence when he was finding people but while he was hiding he was explaining to us and got caught. The real Hunter sacrificed himself for the audience;2070;32;26;182;Very Negative;2021
Jimmy's videos are incredibly entertaining and they never disappoint!!!;10;10;10;71;Very Positive;2021
MatPat coming so close and missing the hiders everytime is hilarious!;1591;11;11;69;Very Positive;2021
So glad Zack won! He's one of the nicest people on the platform.;254;14;13;64;Very Positive;2021
Mat being a seeker and using all of his theory skills to look for hiding spots and clues makes me incredibly happy;711;22;21;114;Very Positive;2021
MatPat was entertaining the entire video lol;1;7;7;44;Positive;2021
Marks hiding spot was actually the best. The worker was just a little too suspicious . Congratulations Zach ;647;17;15;108;Positive;2021
I love how MatPat’s just right all the time about where everyone’s hiding but doesn’t do anything about it.;2413;22;20;107;Positive;2021
I’m honestly so glad Zach won, he’s such a great guy;479;13;13;52;Very Positive;2021
So the master of illusions has won? How fitting;5;9;9;47;Neutral;2021
Imagine the terror of hearing MatPats voice and immediately figuring out your entire plan, knowing he explains lore for a business;4039;21;21;130;Very Negative;2021
Look at MrBeast man so Inspirational;754;6;6;36;Very Positive;2021
probably the most deserving winner in terms of content creator skill, zachs a legend in this industry i have no doubt the money will be well spent;963;27;25;146;Very Positive;2021
So could this mean that MatPat manage to capture/seek Logan? WHOAAAAAAAAA~;18;12;12;74;Negative;2021
Can we just appreciate how MatPat kept coming so close to finding someone yet kept overthinking it?;4584;17;16;99;Neutral;2021
Zach: an illustration master and a master hider. He got all the skills;332;13;12;70;Very Positive;2021
Jimmy never disappoints us. ;1608;4;4;28;Very Positive;2021
Matpat is a most dangerous seeker;2;6;6;33;Very Negative;2021
I love how MatPat missed out two people when he was right next to them lmao.;2019;16;16;76;Very Positive;2021
Mark's spot was so genius but was overthrown by a suspicious worker... Bummer, but made for some hilarious content!!! And congrats to Zach for an epic win!;883;28;25;155;Positive;2021
Absolutely insane production quality.;1688;4;4;37;Very Negative;2021
